control_id,iteration,cosine_tfidf,rouge_l_f1,bleu,structural_similarity,bertscore_f1,precision,recall,f1,true_positives,gt_count,ai_claims,matched_ai_claims
148,1,0.3937175338314167,0.19491525423728814,0.024787470710472322,0.5888625383377075,0.11721622198820114,0.2,0.08333333333333333,0.11764705882352941,1,12,5,1
148,2,0.4452719165358465,0.22660098522167485,0.024667019282975093,0.6016103029251099,0.14589473605155945,0.0,0.0,0.0,0,12,3,0
148,3,0.42313112307652156,0.18666666666666668,0.03310832897568924,0.5742349624633789,0.12054477632045746,0.0,0.0,0.0,0,12,3,0
148,4,0.4369818233235742,0.16666666666666669,0.048417708618902856,0.5899274349212646,0.13482028245925903,0.0,0.0,0.0,0,12,3,0
148,5,0.4629120511850244,0.24434389140271492,0.03063500417447175,0.587539792060852,0.14093033969402313,0.25,0.08333333333333333,0.125,1,12,4,1
148,6,0.37176638759245295,0.22966507177033493,0.05955690383880095,0.5153152346611023,0.13745522499084473,0.25,0.08333333333333333,0.125,1,12,4,1
148,7,0.34456353631621917,0.2,0.03630819286898241,0.5752262473106384,0.10875940322875977,0.0,0.0,0.0,0,12,3,0
148,8,0.4272805763957925,0.15899581589958156,0.03091986083160323,0.5253473520278931,0.07854710519313812,0.0,0.0,0.0,0,12,4,0
148,9,0.4011971533316221,0.16,0.02428564481519305,0.6023404598236084,0.10846663266420364,0.25,0.08333333333333333,0.125,1,12,4,1
148,10,0.46747187269616614,0.19383259911894274,0.03951863554135362,0.6162490844726562,0.09657108038663864,0.25,0.08333333333333333,0.125,1,12,4,1
149,1,0.14773213887736875,0.09401709401709402,0.0038009296042592054,0.40886712074279785,-0.10182224214076996,0.0,0.0,0.0,0,11,4,0
149,2,0.3199008928491835,0.16239316239316243,0.00529554658537295,0.5244466662406921,0.03752628341317177,0.4,0.18181818181818182,0.25000000000000006,2,11,5,1
149,3,0.22034416027692683,0.11483253588516747,0.005543419270264475,0.420321524143219,-0.047095559537410736,0.0,0.0,0.0,0,11,4,0
149,4,0.1509806856610182,0.12875536480686695,0.0046902657617906894,0.5304139852523804,-0.017539435997605324,0.4,0.18181818181818182,0.25000000000000006,2,11,5,1
149,5,0.1681989061658532,0.12560386473429952,0.00535075220635354,0.5281709432601929,-0.04189807549118996,0.25,0.09090909090909091,0.13333333333333333,1,11,4,1
149,6,0.24013795124826554,0.11764705882352941,0.00980923471403151,0.5305302143096924,-0.05333522707223892,0.5,0.18181818181818182,0.26666666666666666,2,11,4,1
149,7,0.15766454639663344,0.09756097560975609,0.003879269190922028,0.5142926573753357,-0.04496493563055992,0.0,0.0,0.0,0,11,4,0
149,8,0.15272176161520343,0.11304347826086956,0.005149554433675629,0.4788602888584137,-0.03817256912589073,0.0,0.0,0.0,0,11,5,0
149,9,0.17198305517359944,0.1523809523809524,0.005158732908948337,0.555203914642334,-0.03131275251507759,0.25,0.09090909090909091,0.13333333333333333,1,11,4,1
149,10,0.1802574830574502,0.14705882352941174,0.005113547151758444,0.4730280041694641,-0.1115914136171341,0.0,0.0,0.0,0,11,4,0
150,1,0.22358893907565716,0.17333333333333334,0.01021029672115027,0.4167080819606781,0.10192466527223587,0.0,0.0,0.0,0,3,4,0
150,2,0.25082471648315396,0.14857142857142858,0.008984148466486985,0.39883679151535034,-0.0031625654082745314,0.0,0.0,0.0,0,3,4,0
150,3,0.21455777232866896,0.17177914110429449,0.005248313968309071,0.4550268352031708,0.0329877994954586,0.0,0.0,0.0,0,3,5,0
150,4,0.3124647321513164,0.1568627450980392,0.010205232400674521,0.40435177087783813,0.04637511074542999,0.0,0.0,0.0,0,3,4,0
150,5,0.2763116227756771,0.14857142857142858,0.010727931002623975,0.4578387141227722,0.0725574791431427,0.0,0.0,0.0,0,3,6,0
150,6,0.29482581185127305,0.18300653594771238,0.013298306885585144,0.4056243300437927,0.07954302430152893,0.0,0.0,0.0,0,3,4,0
150,7,0.20414149798961898,0.16793893129770993,0.011036842510753852,0.4351767599582672,0.12863147258758545,0.0,0.0,0.0,0,3,4,0
150,8,0.2806434126965221,0.14864864864864866,0.0107833177739987,0.42261460423469543,0.0808684378862381,0.0,0.0,0.0,0,3,4,0
150,9,0.269834917948212,0.1897810218978102,0.012226804145317271,0.4507402777671814,0.1359931379556656,0.0,0.0,0.0,0,3,4,0
150,10,0.25120079884410895,0.13513513513513514,0.010686455331975873,0.42294931411743164,0.08112660050392151,0.0,0.0,0.0,0,3,4,0
151,1,0.23821262673815824,0.14915254237288136,0.004501239425575294,0.5400063991546631,-0.08355600386857986,0.0,0.0,0.0,0,11,7,0
151,2,0.1993964132298769,0.15306122448979592,0.00808204178151097,0.5414507389068604,0.000205893418751657,0.0,0.0,0.0,0,11,4,0
151,3,0.15131734244438544,0.1198501872659176,0.00842690299722374,0.4525434374809265,-0.056725580245256424,0.0,0.0,0.0,0,11,5,0
151,4,0.15857097441278264,0.16342412451361868,0.008800861638490151,0.5264068841934204,-0.037177007645368576,0.0,0.0,0.0,0,11,5,0
151,5,0.18355718503139737,0.1365461847389558,0.00967401140939555,0.44863834977149963,-0.05126958340406418,0.0,0.0,0.0,0,11,4,0
151,6,0.15167372810354224,0.15023474178403756,0.0051929243402069345,0.49501144886016846,-0.0005491668707691133,0.0,0.0,0.0,0,11,5,0
151,7,0.1967021237641708,0.1758241758241758,0.010450681018346305,0.4857369065284729,-0.04968070611357689,0.0,0.0,0.0,0,11,5,0
151,8,0.2198324109568479,0.168,0.005781959661083405,0.4632035493850708,-0.01217208057641983,0.0,0.0,0.0,0,11,5,0
151,9,0.16902082719698247,0.13930348258706468,0.004533042362150775,0.4680078327655792,0.008447281084954739,0.0,0.0,0.0,0,11,4,0
151,10,0.14320221201545502,0.1328125,0.0048158230194438705,0.49371445178985596,-0.06658551096916199,0.0,0.0,0.0,0,11,6,0
152,1,0.10655289346638532,0.11398963730569947,0.00401338676630937,0.5701214075088501,-0.0028486044611781836,0.5,0.18181818181818182,0.26666666666666666,2,11,4,1
152,2,0.10447832157207923,0.13714285714285712,0.00484147339603392,0.4758285880088806,-0.00495804101228714,0.0,0.0,0.0,0,11,4,0
152,3,0.40937466036039755,0.24215246636771298,0.005393275258402422,0.5771511793136597,0.12031592428684235,0.3333333333333333,0.18181818181818182,0.23529411764705885,2,11,6,1
152,4,0.10763632291586739,0.1212121212121212,0.005607123620570479,0.5440019369125366,0.018888868391513824,0.0,0.0,0.0,0,11,4,0
152,5,0.2337576746213973,0.17500000000000002,0.005820290876218001,0.5090954899787903,0.056859783828258514,0.0,0.0,0.0,0,11,3,0
152,6,0.12916288054257355,0.11627906976744186,0.004813585527392356,0.5743778944015503,0.038519375026226044,0.5,0.18181818181818182,0.26666666666666666,2,11,4,1
152,7,0.08315356690878108,0.09473684210526315,0.0039794827453769185,0.5039712190628052,0.01742112636566162,0.3333333333333333,0.09090909090909091,0.14285714285714288,1,11,3,1
152,8,0.09581218810744849,0.12087912087912088,0.00522070915490583,0.45327281951904297,-0.024112839251756668,0.0,0.0,0.0,0,11,4,0
152,9,0.06934007991805625,0.13333333333333333,0.004896183110881732,0.5339760780334473,0.0038169745821505785,0.3333333333333333,0.09090909090909091,0.14285714285714288,1,11,3,1
152,10,0.08650730292408325,0.15469613259668508,0.0052403713187366445,0.5793420672416687,0.012215872295200825,0.25,0.09090909090909091,0.13333333333333333,1,11,4,1
153,1,0.26600457740504163,0.16129032258064518,0.01061342372580065,0.564223051071167,0.09179844707250595,0.0,0.0,0.0,0,2,4,0
153,2,0.18785506721351367,0.11678832116788321,0.00886296179699419,0.6109380722045898,0.1628722995519638,0.0,0.0,0.0,0,2,4,0
153,3,0.1732063865385304,0.12903225806451613,0.005272000102247913,0.5611591339111328,0.1296192705631256,0.0,0.0,0.0,0,2,3,0
153,4,0.23334818404017538,0.11764705882352941,0.009322047866482656,0.6303142309188843,0.16157089173793793,0.0,0.0,0.0,0,2,4,0
153,5,0.22094132942022035,0.12765957446808512,0.008643337143446362,0.5355174541473389,0.1460338830947876,0.0,0.0,0.0,0,2,4,0
153,6,0.1781646431356432,0.1212121212121212,0.009339268756555684,0.5473005771636963,0.13175378739833832,0.0,0.0,0.0,0,2,4,0
153,7,0.19635797743283917,0.1208053691275168,0.008721126404124134,0.5620875954627991,0.09240341186523438,0.0,0.0,0.0,0,2,3,0
153,8,0.20317603584833402,0.12738853503184713,0.007531911344308924,0.5401688814163208,0.07656551152467728,0.0,0.0,0.0,0,2,5,0
153,9,0.15871335394013195,0.11678832116788321,0.008643337143446362,0.4764412045478821,0.06913180649280548,0.0,0.0,0.0,0,2,3,0
153,10,0.2192142750540375,0.11510791366906474,0.009086803031676964,0.5662583708763123,0.09080994874238968,0.0,0.0,0.0,0,2,5,0
154,1,0.21486516287425875,0.10029498525073746,0.00460818996116079,0.4563353955745697,-0.09999074786901474,0.0,0.0,0.0,0,4,16,0
154,2,0.17843438949960835,0.14973262032085563,0.00855004342035084,0.5003842115402222,-0.012096150778234005,0.0,0.0,0.0,0,4,4,0
154,3,0.3619608841312284,0.22535211267605634,0.014918023154674092,0.5648825764656067,0.063428595662117,0.0,0.0,0.0,0,4,4,0
154,4,0.16748447874425354,0.16,0.007171779484522487,0.3616805076599121,0.045710813254117966,0.0,0.0,0.0,0,4,4,0
154,5,0.17603423189127598,0.13513513513513514,0.0060377043084762,0.5030704736709595,0.05409911647439003,0.0,0.0,0.0,0,4,4,0
